SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
ITALIANE,Italian Edibles Limited,ST,12-Feb-24,10,INE0R7R01018,10,
BAWEJA,Baweja Studios Limited,SM,06-Feb-24,10,INE0JFJ01011,10,
MEGATHERM,Megatherm Induction Limited,SM,05-Feb-24,10,INE531R01010,10,
DHTL,Docmode Health Technologies Limited,ST,02-Feb-24,10,INE0OGG01015,10,
DELAPLEX,Delaplex Limited,SM,02-Feb-24,10,INE0SK801018,10,
FONEBOX,Fonebox Retail Limited,SM,02-Feb-24,10,INE0Q4701019,10,
LAWSIKHO,Addictive Learning Technology Limited,SM,30-Jan-24,10,INE0RDH01021,10,
KONSTELEC,Konstelec Engineers Limited,ST,30-Jan-24,10,INE0QEI01011,10,
MAXPOSURE,Maxposure Limited,SM,23-Jan-24,10,INE0ECC01022,10,
APS,Australian Premium Solar (India) Limited,ST,18-Jan-24,10,INE0P0001010,10,
IBLFL,IBL Finance Limited,ST,16-Jan-24,10,INE0O7401018,10,
KLL,Kaushalya Logistics Limited,SM,08-Jan-24,10,INE0Q2V01012,10,
KCEIL,Kay Cee Energy & Infra Limited,ST,05-Jan-24,10,INE0RCG01017,10,
HRHNEXT,HRH Next Services Limited,ST,03-Jan-24,10,INE0R3501012,10,
AKANKSHA,Akanksha Power and Infrastructure Limited,ST,03-Jan-24,10,INE0PCY01014,10,
SAIFL,Sameera Agro And Infra Limited,SM,01-Jan-24,10,INE0PZA01015,10,
INDIFRA,Indifra Limited,SM,29-Dec-23,10,INE0PS301014,10,
TECHLABS,Trident Techlabs Limited,SM,29-Dec-23,10,INE0QD201012,10,
SUPREMEPWR,Supreme Power Equipment Limited,ST,29-Dec-23,10,INE0QHG01026,10,
EFORCE,Electro Force (India) Limited,SM,27-Dec-23,10,INE0Q1W01012,10,
SHREEOSFM,Shree OSFM E-Mobility Limited,SM,21-Dec-23,10,INE02S501018,10,
SJLOGISTIC,S J Logistics (India) Limited,ST,19-Dec-23,10,INE0F3301020,10,
PRESSTONIC,Presstonic Engineering Limited,ST,18-Dec-23,10,INE0R1601012,10,
ACCENTMIC,Accent Microcell Limited,SM,15-Dec-23,10,INE0Q5D01013,10,
GRAPHISAD,Graphisads Limited,ST,13-Dec-23,10,INE0POU01017,10,
SHEETAL,Sheetal Universal Limited,SM,11-Dec-23,10,INE04VX01019,10,
CBAZAAR,Net Avenue Technologies Limited,SM,08-Dec-23,1,INE518X01015,1,
MARINETRAN,Marinetrans India Limited,ST,08-Dec-23,10,INE0P1P01017,10,
ROCKINGDCE,Rockingdeals Circular Economy Limited,SM,30-Nov-23,10,INE0PTR01012,10,
